video_id,comment_text,like_count,published_at,author,fetched_at
8sJlOmE8HKY,मै देख चुकी हु मूवी ठीक ही है😊😊😊😊❤❤❤,14,2026-04-11T02:39:33Z,@strugglelife123-g3k,2026-04-13T13:58:15.202875
8sJlOmE8HKY,2nd comment,2,2026-04-11T02:34:55Z,@ar29aa17,2026-04-13T13:58:15.202876
2ohfbahLU1k,carry badmosh se koi fight kar sakte hai kya..,245,2026-04-12T08:36:44Z,@CarryDepie,2026-04-13T13:58:15.541111
2ohfbahLU1k,दूरबीन का पापा कह रही है,0,2026-04-13T12:33:50Z,@MeeraDevi-j4h6n,2026-04-13T13:58:15.541129
2ohfbahLU1k,दूरबीन का पापा कह रही है,0,2026-04-13T12:32:57Z,@MeeraDevi-j4h6n,2026-04-13T13:58:15.541132
2ohfbahLU1k,दूरबीन का पापा कह रही है,0,2026-04-13T12:31:49Z,@MeeraDevi-j4h6n,2026-04-13T13:58:15.541134
2ohfbahLU1k,दूरबीन का पापा कह रही है,0,2026-04-13T12:31:39Z,@MeeraDevi-j4h6n,2026-04-13T13:58:15.541136
2ohfbahLU1k,Durbin we miss you Durbin has died,1,2026-04-13T12:24:47Z,@Bobbyyt-123,2026-04-13T13:58:15.541138
2ohfbahLU1k,Vote for 442 sub,0,2026-04-13T11:35:04Z,@Gudduarts-v4g,2026-04-13T13:58:15.541140
2ohfbahLU1k,Back is back JARIF95 ❤❤❤🎉🎉,0,2026-04-13T11:32:12Z,@Juthi-l9d95JARIF,2026-04-13T13:58:15.541142
2ohfbahLU1k,Khesari Lal,0,2026-04-13T11:27:20Z,@RihanRihan-w1t,2026-04-13T13:58:15.541145
2ohfbahLU1k,Carry bhai jaldi face reveal karo main aapke channel ko subscribe aur like karta hun😊😊❤❤,0,2026-04-13T10:44:57Z,@Anilmahant-i8l,2026-04-13T13:58:15.541147
2ohfbahLU1k,*Hello 👋 bro hello virus I'm watching again now this video has 11k likes and I'm 712 on the comment*,0,2026-04-13T10:43:12Z,@redgamer762,2026-04-13T13:58:15.541149
2ohfbahLU1k,Hello carry depie😊,1,2026-04-13T10:37:30Z,@DevPande-x1t,2026-04-13T13:58:15.541151
2ohfbahLU1k,❤thanks for no support 😢plz support 😭😭,0,2026-04-13T10:15:30Z,@Nikee-boy,2026-04-13T13:58:15.541153
2ohfbahLU1k,ha,0,2026-04-13T10:12:50Z,@ArchanaLalage-b3q,2026-04-13T13:58:15.541154
